[2026-08-16 22:55:44] 监控启动：CPU≤60% GPU≤95%（间隔 10s）
[2026-08-16 22:56:40] CPU 7.6% | GPU 18.0% 显存 1357MiB
[2026-08-16 23:37:10] CPU 6.3% | GPU 99.0% 显存 24058MiB  <== ALERT GPU 99.0%
[2026-08-16 23:37:21] CPU 13.3% | GPU 99.0% 显存 24050MiB  <== ALERT GPU 99.0%
[2026-08-16 23:37:32] CPU 7.8% | GPU 99.0% 显存 24061MiB  <== ALERT GPU 99.0%
[2026-08-16 23:37:43] CPU 8.8% | GPU 99.0% 显存 24060MiB  <== ALERT GPU 99.0%
[2026-08-16 23:37:54] CPU 7.8% | GPU 99.0% 显存 24060MiB  <== ALERT GPU 99.0%
[2026-08-16 23:38:05] CPU 11.2% | GPU 99.0% 显存 24061MiB  <== ALERT GPU 99.0%
[2026-08-16 23:38:16] CPU 7.0% | GPU 99.0% 显存 24055MiB  <== ALERT GPU 99.0%
[2026-08-16 23:38:27] CPU 9.3% | GPU 98.0% 显存 24062MiB  <== ALERT GPU 98.0%
[2026-08-16 23:38:38] CPU 6.6% | GPU 98.0% 显存 24052MiB  <== ALERT GPU 98.0%
[2026-08-16 23:38:49] CPU 10.0% | GPU 99.0% 显存 24052MiB  <== ALERT GPU 99.0%
[2026-08-16 23:39:00] CPU 7.1% | GPU 99.0% 显存 24052MiB  <== ALERT GPU 99.0%
[2026-08-16 23:39:11] CPU 9.3% | GPU 99.0% 显存 24052MiB  <== ALERT GPU 99.0%
[2026-08-16 23:39:33] CPU 8.5% | GPU 99.0% 显存 24052MiB  <== ALERT GPU 99.0%
[2026-08-16 23:39:44] CPU 10.9% | GPU 99.0% 显存 24052MiB  <== ALERT GPU 99.0%
[2026-08-16 23:39:55] CPU 8.4% | GPU 99.0% 显存 24053MiB  <== ALERT GPU 99.0%
[2026-08-16 23:40:07] CPU 9.7% | GPU 99.0% 显存 24053MiB  <== ALERT GPU 99.0%
[2026-08-16 23:40:40] CPU 10.3% | GPU 98.0% 显存 24052MiB  <== ALERT GPU 98.0%
[2026-08-16 23:40:51] CPU 9.6% | GPU 99.0% 显存 24053MiB  <== ALERT GPU 99.0%
[2026-08-16 23:41:13] CPU 5.9% | GPU 100.0% 显存 24050MiB  <== ALERT GPU 100.0%
[2026-08-16 23:41:24] CPU 5.7% | GPU 98.0% 显存 24055MiB  <== ALERT GPU 98.0%
[2026-08-16 23:41:35] CPU 9.0% | GPU 98.0% 显存 24052MiB  <== ALERT GPU 98.0%
[2026-08-16 23:41:46] CPU 6.8% | GPU 100.0% 显存 24051MiB  <== ALERT GPU 100.0%
[2026-08-16 23:41:57] CPU 4.9% | GPU 99.0% 显存 24052MiB  <== ALERT GPU 99.0%
